"","District_Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline","total_population","below_poverty_num","above_poverty_num","poverty_percentage","tot_less_than_HS","tot_HS","tot_some_college","tot_bachelor_plus","HS_PLUS_percentage"
"870","Waterloo Local","Portage","Region 8",342.666666666667,93.4666666666667,18.7,0,24.3333333333333,0,24.3333333333333,5464,304,5160,0.0556368960468521,496,2383,1498,1087,0.909224011713031
"871","Wauseon Exempted Village","Fulton","Region 1",445,94.925,10.65,0,0,2.5,2.5,6616,526,6090,0.0795042321644498,802,2746,1972,1096,0.878778718258767
"872","Waverly City","Pike","Region 15",454,93.25,18.7,0,11.25,17,28.25,7748,956,6792,0.12338668043366,1109,2864,2409,1366,0.856866288074342
"873","Wayne Local","Warren","Region 13",463,96.0666666666667,5.26666666666667,0,0,0,0,6227,309,5918,0.04962261120925,529,2053,1525,2120,0.915047374337562
"874","Wayne Trace Local","Paulding","Region 1",298,96.0666666666667,5.83333333333333,0,4,0,4,3779,308,3471,0.081503043133104,313,1823,958,685,0.917173855517333
"875","Waynesfield-Goshen Local","Auglaize","Region 6",244,95.4,7.2,0,0,5.5,5.5,1992,134,1858,0.0672690763052209,132,1006,562,292,0.933734939759036
"876","Weathersfield Local","Trumbull","Region 5",493,94.65,11.85,0,0,8.5,8.5,3799,364,3435,0.0958146880758094,299,1719,1023,758,0.921295077652014
"877","Wellington Exempted Village","Lorain","Region 2",333.333333333333,93.9,14.2666666666667,0,0,10.6666666666667,10.6666666666667,6460,603,5857,0.093343653250774,471,2456,2251,1282,0.927089783281734
"878","Wellston City","Jackson","Region 16",325.75,92.375,23.125,0,2.75,20.25,23,5858,1043,4815,0.178047115056333,1379,2452,1256,771,0.764595425059747
"879","Wellsville Local","Columbiana","Region 5",233.333333333333,93.7,17.0666666666667,0,0,0,0,3197,584,2613,0.182671254300907,564,1521,863,249,0.823584610572412
"880","West Branch Local","Columbiana","Region 5",338,95.1,8.6,0,0,0,0,8839,873,7966,0.0987668288267904,756,4149,2468,1466,0.91446996266546
"881","West Branch Local","Mahoning","Region 5",550.666666666667,94.2333333333333,13.1,0,5.66666666666667,20,25.6666666666667,8839,873,7966,0.0987668288267904,756,4149,2468,1466,0.91446996266546
"882","West Carrollton City","Montgomery","Region 10",500.142857142857,93.6285714285714,16.3285714285714,0,20.1,0,20.1,19446,2408,17038,0.123830093592513,1916,6483,7261,3786,0.901470739483698
"883","West Central Learning Academy II","Allen","Region 6",59,79.3,42.2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","West Clermont Local","Clermont","Region 13",797.5,93.82,14.86,1.35,49.31,57.43,108.09,47212,4360,42852,0.0923494026942303,4473,15357,14675,12707,0.905257138015759
"885","West Geauga Local","Geauga","Region 4",453.75,94.925,9.125,0,6.75,0,6.75,11786,604,11182,0.0512472424910911,432,3021,3517,4816,0.963346343118955
"886","West Holmes Local","Holmes","Region 9",297.571428571429,95.4571428571429,6.98571428571429,0,1.57142857142857,6.85714285714286,8.42857142857143,11685,1415,10270,0.121095421480531,2396,5463,2331,1495,0.794950791613179
"887","West Liberty-Salem Local","Champaign","Region 6",593,95.15,9.1,0,0,0,0,3787,183,3604,0.0483232109849485,212,1626,1278,671,0.944019012410879
"888","West Muskingum Local","Muskingum","Region 12",460,93.8333333333333,16.1333333333333,0,10.7666666666667,15,25.7666666666667,9989,773,9216,0.0773851236359996,806,3835,3318,2030,0.919311242366603
"889","West Park Academy","Cuyahoga","Region 3",216,87.3,47.6,0,28,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890","West Preparatory Academy","Cuyahoga","Region 3",123,90.6,37,0,17,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891","Western Brown Local","Brown","Region 14",722.25,94.975,11.675,0,22.25,0,22.25,11702,1145,10557,0.0978465219620578,1461,5756,3112,1373,0.875149547085968
"892","Western Local","Pike","Region 15",247.333333333333,93.2,19,0,14.6666666666667,0,14.6666666666667,3225,546,2679,0.169302325581395,627,1657,760,181,0.805581395348837
"893","Western Reserve Local","Huron","Region 2",331,95.1,9.06666666666667,0,0,23.5,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","Western Reserve Local","Mahoning","Region 5",217.333333333333,94.6333333333333,9.46666666666667,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895","Westerville City","Delaware","Region 11",1042.33333333333,94.9833333333333,9.46666666666667,0,30.4333333333333,48.9166666666667,79.35,67851,4033,63818,0.0594390650100957,3115,14137,18050,32549,0.954090580831528
"896","Westerville City","Franklin","Region 11",554.266666666667,95.4933333333333,7.60666666666667,0,14.94,16.02,30.96,67851,4033,63818,0.0594390650100957,3115,14137,18050,32549,0.954090580831528
"897","Westfall Local","Pickaway","Region 11",454,95.1,9.43333333333333,0,18.5,32.3333333333333,50.8333333333333,6007,474,5533,0.0789079407358082,837,2619,1648,903,0.860662560346263
"898","Westlake City","Cuyahoga","Region 3",489.571428571429,95.6285714285714,5.65714285714286,0,6.68571428571429,1.57142857142857,8.25714285714286,23130,1022,22108,0.0441850410722006,700,3948,6046,12436,0.969736273238219
"899","Westside Academy","Franklin","Region 11",225,94.8,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900","Westwood Preparatory Academy","Franklin","Region 11",225,NA,NA,0,0,225.5,225.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901","Wheelersburg Local","Scioto","Region 15",525.333333333333,95.3333333333333,7.43333333333333,0,0,0,0,5740,626,5114,0.109059233449477,543,2391,1556,1250,0.905400696864112
"902","Whitehall City","Franklin","Region 11",695.4,92.3,23.54,0,111.8,59.8,171.6,11697,1966,9731,0.168077284773874,1796,4579,3622,1700,0.846456356330683
"903","Whitehall Preparatory and Fitness Academy","Franklin","Region 11",301,93.2,20.6,0,35.8,0,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904","Wickliffe City","Lake","Region 4",419.666666666667,94.3,14.8333333333333,0,11.3333333333333,13.6666666666667,25,9080,514,8566,0.0566079295154185,655,3148,3047,2230,0.927863436123348
"905","Wildwood Environmental Academy","Lucas","Region 1",363,92.6,23.6,0,66,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906","Willard City","Huron","Region 7",482.666666666667,94.1333333333333,15.6,0,10.3333333333333,19.1666666666667,29.5,7075,774,6301,0.109399293286219,822,3509,1907,837,0.883816254416961
"907","Williamsburg Local","Clermont","Region 13",498.5,94.35,13.5,0,6,0,6,4743,465,4278,0.0980392156862745,611,1920,1386,826,0.871178578958465
"908","Willoughby-Eastlake City","Lake","Region 4",672.727272727273,94.4181818181818,13.1090909090909,0,17.8181818181818,0,17.8181818181818,48140,3600,44540,0.0747818861653511,3343,15209,16573,13015,0.930556709597009
"909","Wilmington City","Clinton","Region 14",544,94,13.38,0,0,0,0,13627,1835,11792,0.134659132604388,1593,4864,4074,3096,0.883099728480223
"910","Windham Exempted Village","Portage","Region 8",161.333333333333,93.5333333333333,17.5,0,10.6666666666667,0,10.6666666666667,2636,335,2301,0.127086494688923,309,1449,572,306,0.882776934749621
"911","Wings Academy 1","Cuyahoga","Region 3",223,93.8,19.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912","Winterfield Venture Academy","Lucas","Region 1",545,93.9,18.1,0,231.5,0,231.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913","Winton Preparatory Academy","Hamilton","Region 13",386,83.7,64.9,0,247.5,0,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","Winton Woods City","Hamilton","Region 13",624.5,92.75,20.65,0,64.1166666666667,0,64.1166666666667,17097,1314,15783,0.0768555886997719,1506,4880,5368,5343,0.911914370942271
"915","Wolf Creek Local","Washington","Region 16",301.5,94.95,10.35,0,0,0,0,2392,133,2259,0.0556020066889632,180,1235,723,254,0.924749163879599
"916","Woodmore Local","Ottawa","Region 1",242,95.05,8.6,0,0,0,0,4864,506,4358,0.104029605263158,380,1675,1611,1198,0.921875
"917","Woodmore Local","Sandusky","Region 1",451,95.7,5.3,0,12,0,12,4864,506,4358,0.104029605263158,380,1675,1611,1198,0.921875
"918","Woodridge Local","Summit","Region 8",619.666666666667,94.7,11,0,29,0,29,12812,1041,11771,0.0812519512956603,599,2939,4008,5266,0.95324695597877
"919","Wooster City","Wayne","Region 9",551.166666666667,94.75,10.5166666666667,0,9.38333333333333,15.7833333333333,25.1666666666667,19700,2140,17560,0.108629441624365,1204,7185,5412,5899,0.938883248730965
"920","Worthington City","Franklin","Region 11",573.058823529412,95.6764705882353,6.45294117647059,0,6.61764705882353,0,6.61764705882353,45342,1963,43379,0.0432931939482158,1012,6316,11232,26782,0.977680737506065
"921","Wynford Local","Crawford","Region 7",362.666666666667,95.1,10.1,0,0,10.6666666666667,10.6666666666667,4209,478,3731,0.113566167735804,267,1932,1359,651,0.936564504632929
"922","Wyoming City","Hamilton","Region 13",394.2,95.88,5.2,0,0,4.8,4.8,5639,100,5539,0.0177336407164391,57,512,1028,4042,0.98989182479163
"923","Xenia Community City","Greene","Region 10",506.5,93.0875,18.475,0,29.1,0,29.1,24739,3222,21517,0.130239702494038,2389,9326,7646,5378,0.90343182828732
"924","YB Columbus Community School","Franklin","Region 11",124,41,99.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925","Yellow Springs Exempted Village","Greene","Region 10",334,94.05,13.5,0,0,0,0,3294,407,2887,0.123557984213722,145,392,718,2039,0.955980570734669
"926","Youngstown Academy of Excellence","Mahoning","Region 5",167,87.5,47,0,46.5,0,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927","Youngstown City","Mahoning","Region 5",374.071428571429,88.7714285714286,40.9,0,69.8642857142857,0,69.8642857142857,43139,11575,31564,0.268318690743874,6727,17244,13228,5940,0.84406221748302
"928","Youngstown Community School","Mahoning","Region 5",341,93.1,21.3,0,27,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","Zane Trace Local","Ross","Region 15",415.666666666667,94.0333333333333,14.4333333333333,0,20.3333333333333,0,20.3333333333333,6782,695,6087,0.102477145384842,569,2958,2211,1044,0.916101445001475
"930","Zanesville City","Muskingum","Region 12",630.2,92.78,22.86,0,35.4,90.3,125.7,17313,3593,13720,0.207531912435742,2589,7290,5288,2146,0.850459192514296
"931","Zanesville Community School","Muskingum","Region 12",93,85.1,47,0,15,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932","Zenith Academy","Franklin","Region 11",592,100,0,0,35,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"933","Zenith Academy East","Franklin","Region 11",281,100,0,0,22,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","Zenith Academy West","Franklin","Region 11",208,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
