"","District_Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline","total_population","below_poverty_num","above_poverty_num","poverty_percentage","tot_less_than_HS","tot_HS","tot_some_college","tot_bachelor_plus","HS_PLUS_percentage"
"842","University Academy","Summit","Region 8",233,83.9,62.7,0,106,0,106,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843","University of Cleveland Preparatory School","Cuyahoga","Region 3",288,83.9,66.3,0,98,0,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844","Upper Arlington City","Franklin","Region 11",736.375,96.125,3.9375,0,3.775,0,3.775,24770,520,24250,0.0209931368591038,343,1717,3525,19185,0.986152603956399
"845","Upper Sandusky Exempted Village","Wyandot","Region 7",310.4,95.82,7.04,0,0,7.4,7.4,7534,493,7041,0.0654366870188479,538,3421,2128,1447,0.928590390230953
"846","Upper Scioto Valley Local","Hardin","Region 6",136.666666666667,92.6333333333333,24.3,0,10.6666666666667,0,10.6666666666667,2573,265,2308,0.102992615623785,360,1346,631,236,0.860085503303537
"847","Urban Early College Network","Montgomery","Region 10",81,53.9,98,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848","Urbana City","Champaign","Region 6",646.666666666667,93.4666666666667,17.3333333333333,0,46.5,96.3333333333333,142.833333333333,9949,1126,8823,0.113177203739069,874,4776,2591,1708,0.912151975072872
"849","Utica Shale Academy of Ohio","Columbiana","Region 9",52,94.2,28.7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"850","Valley Local","Scioto","Region 15",349.333333333333,93.4333333333333,18.3333333333333,0,9.66666666666667,12.1666666666667,21.8333333333333,3753,561,3192,0.149480415667466,527,1227,1104,895,0.859579003463896
"851","Valley STEM+ME2 Academy","Mahoning","Region 5",201,91.4,30.3,0,28,102,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852","Valley View Local","Montgomery","Region 10",445.25,95.15,8.9,0,0,0,0,7351,471,6880,0.0640729152496259,464,2523,2590,1774,0.936879336144742
"853","Van Buren Local","Hancock","Region 1",353,96.8666666666667,1.86666666666667,0,0,0,0,4693,220,4473,0.0468783294268059,247,1426,1408,1612,0.947368421052632
"854","Van Wert City","Van Wert","Region 1",514.5,95.425,9.725,0,2.75,0,2.75,9406,1218,8188,0.129491813735913,890,4197,2618,1701,0.905379544971295
"855","Vandalia-Butler City","Montgomery","Region 10",563.8,95.18,8.58,0,2.26,9.9,12.16,17332,1051,16281,0.0606392799446111,1122,5006,6069,5135,0.935264251096238
