"","NAME","total_population","below_poverty_num","above_poverty_num","poverty_percentage","tot_less_than_HS","tot_HS","tot_some_college","tot_bachelor_plus","HS_PLUS_percentage"
"487","South Central Local School District, Ohio",3262,331,2931,0.101471489883507,626,1622,624,390,0.808093194359289
"488","South Euclid-Lyndhurst City School District, Ohio",24523,1830,22693,0.0746238225339477,1119,5135,7173,11096,0.95436936753252
"489","South Point Local School District, Ohio",8155,1485,6670,0.182096873083998,1008,3587,2476,1084,0.876394849785408
"490","South Range Local School District, Ohio",4686,225,4461,0.0480153649167734,278,1799,1314,1295,0.940674349125053
"491","Southeast Local School District (Holmes, Stark, and Wayne Counties); Ohio",9657,892,8765,0.0923682302992648,4703,2853,1173,928,0.512995754375065
"492","Southeast Local School District (Portage County), Ohio",8043,447,7596,0.0555762775083924,635,3860,2313,1235,0.921049359691657
"493","Southeastern Local School District (Clark and Greene Counties), Ohio",3239,217,3022,0.0669959864155604,250,1250,1117,622,0.922815683853041
"494","Southeastern Local School District (Ross County), Ohio",4442,585,3857,0.131697433588474,511,2396,891,644,0.884961728950923
"495","Southern Local School District (Columbiana and Jefferson Counties), Ohio",3876,518,3358,0.133642930856553,478,1996,971,431,0.876676986584107
"496","Southern Local School District (Hocking and Perry Counties), Ohio",2581,472,2109,0.182874854707478,380,1188,765,248,0.852770244091437
"497","Southern Local School District (Meigs County), Ohio",3426,475,2951,0.138645650904845,664,1383,934,445,0.806187974314069
"498","Southington Local School District, Ohio",2495,147,2348,0.0589178356713427,283,1198,633,381,0.886573146292585
"499","Southwest Licking Local School District, Ohio",16895,461,16434,0.0272861793430009,1249,4866,5776,5004,0.926072802604321
"500","Southwest Local School District, Ohio",16448,1192,15256,0.0724708171206226,1445,6101,5178,3724,0.912147373540856
"501","Spencerville Local School District, Ohio",3114,252,2862,0.0809248554913295,317,1454,910,433,0.89820166987797
"502","Springboro Community City School District, Ohio",20232,482,19750,0.0238236457097667,484,3219,4932,11597,0.976077500988533
"503","Springfield City School District, Ohio",34585,6915,27670,0.199942171461616,5533,14259,10161,4632,0.840017348561515
"504","Springfield Local School District (Lucas County), Ohio",20604,1744,18860,0.0846437584934964,1478,4588,6563,7975,0.928266356047369
"505","Springfield Local School District (Mahoning County), Ohio",5566,514,5052,0.0923463887890765,224,2429,1550,1363,0.959755659360402
"506","Springfield Local School District (Portage and Summit Counties), Ohio",13734,1334,12400,0.0971312072229503,1491,5976,4015,2252,0.891437308868501
"507","St. Bernard-Elmwood Place City School District, Ohio",4446,647,3799,0.145524066576698,518,1688,1406,834,0.88349077822762
"508","St. Clairsville-Richland City School District, Ohio",9635,665,8970,0.0690192008303062,378,3521,2923,2813,0.960768033212247
"509","St. Henry Consolidated Local School District, Ohio",2668,81,2587,0.030359820089955,181,1069,756,662,0.93215892053973
"510","St. Marys City School District, Ohio",8336,570,7766,0.0683781190019194,780,3758,2429,1369,0.906429942418426
"511","Steubenville City School District, Ohio",9432,2256,7176,0.239185750636132,1000,3738,2849,1845,0.893977947413062
"512","Stow-Munroe Falls City School District, Ohio",28417,1370,27047,0.0482105781750361,983,6781,7344,13309,0.965408030404335
"513","Strasburg-Franklin Local School District, Ohio",3268,302,2966,0.0924112607099143,349,1522,804,593,0.893206854345165
"514","Streetsboro City School District, Ohio",11008,587,10421,0.0533248546511628,866,3774,3200,3168,0.921329941860465
"515","Strongsville City School District, Ohio",32518,1355,31163,0.0416692293498985,1136,7429,8740,15213,0.965065502183406
"516","Struthers City School District, Ohio",7770,1089,6681,0.14015444015444,577,3660,2233,1300,0.925740025740026
"517","Stryker Local School District, Ohio",1985,121,1864,0.0609571788413098,79,885,728,293,0.960201511335013
"518","Swanton Local School District, Ohio",6553,347,6206,0.0529528460247215,500,2671,2181,1201,0.923699069128643
"519","Switzerland of Ohio Local School District, Ohio",12536,2010,10526,0.160338225909381,1442,6435,3150,1509,0.884971282705807
"520","Sycamore Community City School District, Ohio",23750,940,22810,0.0395789473684211,424,2914,4693,15719,0.982147368421053
"521","Sylvania City School District, Ohio",36568,2274,34294,0.0621855173922555,1419,6845,10421,17883,0.961195580835703
"522","Symmes Valley Local School District, Ohio",2905,410,2495,0.141135972461274,320,1317,1013,255,0.889845094664372
"523","Talawanda City School District, Ohio",15691,930,14761,0.0592696450194379,1126,4723,3813,6029,0.928239117965713
"524","Tallmadge City School District, Ohio",12529,631,11898,0.0503631574746588,543,3523,3951,4512,0.956660547529731
"525","Teays Valley Local School District, Ohio",12908,909,11999,0.0704214440656957,1269,4940,3504,3195,0.901688875116207
"526","Tecumseh Local School District, Ohio",12400,1437,10963,0.115887096774194,1537,4718,4067,2078,0.876048387096774
"527","Three Rivers Local School District, Ohio",11311,646,10665,0.0571125453098753,950,3695,3007,3659,0.916010962779595
"528","Tiffin City School District, Ohio",14156,1453,12703,0.102641989262504,1070,5937,4209,2940,0.924413676179712
"529","Tipp City Exempted Village School District, Ohio",10418,394,10024,0.0378191591476291,462,2885,3623,3448,0.95565367632943
"530","Toledo City School District, Ohio",140182,31323,108859,0.223445235479591,21368,46114,47372,25328,0.84756958810689
"531","Toronto City School District, Ohio",3745,595,3150,0.158878504672897,353,1738,1087,567,0.905740987983979
"532","Tri-County North Local School District, Ohio",3975,255,3720,0.0641509433962264,211,1759,1305,700,0.946918238993711
"533","Tri-Valley Local School District, Ohio",11208,1088,10120,0.0970735189150607,1074,4299,3400,2435,0.904175588865096
"534","Tri-Village Local School District, Ohio",2942,184,2758,0.0625424881033311,246,1504,823,369,0.91638341264446
"535","Triad Local School District, Ohio",4145,228,3917,0.0550060313630881,290,1815,1351,689,0.930036188178528
"536","Trimble Local School District, Ohio",3189,896,2293,0.280965820006272,640,1367,942,240,0.799310128566949
