"","NAME","total_population","below_poverty_num","above_poverty_num","poverty_percentage","tot_less_than_HS","tot_HS","tot_some_college","tot_bachelor_plus","HS_PLUS_percentage"
"537","Triway Local School District, Ohio",8903,759,8144,0.0852521621925194,1048,3634,2262,1959,0.882286869594519
"538","Trotwood-Madison City School District, Ohio",13327,2543,10784,0.190815637427778,1684,4744,5077,1822,0.87363997899002
"539","Troy City School District, Ohio",20611,1809,18802,0.0877686672165349,1724,6431,6550,5906,0.916355344233662
"540","Tuscarawas Valley Local School District, Ohio",7151,452,6699,0.0632079429450427,549,3111,1865,1626,0.923227520626486
"541","Tuslaw Local School District, Ohio",6753,296,6457,0.0438323707981638,449,3104,1924,1276,0.933511032133866
"542","Twin Valley Community Local School District, Ohio",3862,167,3695,0.0432418436043501,383,1717,1081,681,0.900828586224754
"543","Twinsburg City School District, Ohio",17684,899,16785,0.0508369147251753,672,4058,4773,8181,0.961999547613662
"544","Union-Scioto Local School District, Ohio",7771,753,7018,0.0968987260326856,551,2761,2615,1844,0.929095354523227
"545","Union Local School District, Ohio",6202,511,5691,0.082392776523702,378,2731,2134,959,0.939051918735892
"546","United Local School District, Ohio",4989,379,4610,0.075967127680898,516,2395,1208,870,0.896572459410704
"547","Upper Arlington City School District, Ohio",24770,520,24250,0.0209931368591038,343,1717,3525,19185,0.986152603956399
"548","Upper Sandusky Exempted Village School District, Ohio",7534,493,7041,0.0654366870188479,538,3421,2128,1447,0.928590390230953
"549","Upper Scioto Valley Local School District, Ohio",2573,265,2308,0.102992615623785,360,1346,631,236,0.860085503303537
"550","Urbana City School District, Ohio",9949,1126,8823,0.113177203739069,874,4776,2591,1708,0.912151975072872
"551","Valley Local School District, Ohio",3753,561,3192,0.149480415667466,527,1227,1104,895,0.859579003463896
"552","Valley View Local School District, Ohio",7351,471,6880,0.0640729152496259,464,2523,2590,1774,0.936879336144742
"553","Van Buren Local School District, Ohio",4693,220,4473,0.0468783294268059,247,1426,1408,1612,0.947368421052632
"554","Van Wert City School District, Ohio",9406,1218,8188,0.129491813735913,890,4197,2618,1701,0.905379544971295
"555","Vandalia-Butler City School District, Ohio",17332,1051,16281,0.0606392799446111,1122,5006,6069,5135,0.935264251096238
"556","Vanlue Local School District, Ohio",1236,65,1171,0.052588996763754,37,551,386,262,0.970064724919094
"557","Vermilion Local School District, Ohio",10774,767,10007,0.0711899016149991,945,3649,3215,2965,0.912288843512159
"558","Versailles Exempted Village School District, Ohio",3865,155,3710,0.0401034928848642,196,1720,1003,946,0.949288486416559
"559","Vinton County Local School District, Ohio",9037,1332,7705,0.147394046696913,1717,3970,2211,1139,0.810003319685736
"560","Wadsworth City School District, Ohio",19810,992,18818,0.0500757193336699,678,5760,5756,7616,0.965774861181222
"561","Walnut Township Local School District, Ohio",3378,257,3121,0.0760805210183541,350,1408,1120,500,0.896388395500296
"562","Wapakoneta City School District, Ohio",13118,1124,11994,0.0856837932611679,956,5832,4505,1825,0.927123037048331
"563","Warren City School District, Ohio",22313,6429,15884,0.288127997131717,2896,9978,6409,3030,0.870210191368261
"564","Warren Local School District, Ohio",10542,888,9654,0.0842344906089926,945,4259,3426,1912,0.910358565737052
"565","Warrensville Heights City School District, Ohio",9824,1546,8278,0.157369706840391,850,3343,4170,1461,0.913477198697068
"566","Washington-Nile Local School District, Ohio",5425,999,4426,0.184147465437788,701,2501,1545,678,0.870783410138249
"567","Washington Court House City School District, Ohio",9149,1423,7726,0.155536124166576,1295,4230,2017,1607,0.858454475899005
"568","Washington Local School District, Ohio",34195,3739,30456,0.109343471267729,2950,11574,13670,6001,0.91373007749671
"569","Waterloo Local School District, Ohio",5464,304,5160,0.0556368960468521,496,2383,1498,1087,0.909224011713031
"570","Wauseon Exempted Village School District, Ohio",6616,526,6090,0.0795042321644498,802,2746,1972,1096,0.878778718258767
"571","Waverly City School District, Ohio",7748,956,6792,0.12338668043366,1109,2864,2409,1366,0.856866288074342
"572","Wayne Local School District, Ohio",6227,309,5918,0.04962261120925,529,2053,1525,2120,0.915047374337562
"573","Wayne Trace Local School District, Ohio",3779,308,3471,0.081503043133104,313,1823,958,685,0.917173855517333
"574","Waynesfield-Goshen Local School District, Ohio",1992,134,1858,0.0672690763052209,132,1006,562,292,0.933734939759036
"575","Weathersfield Local School District, Ohio",3799,364,3435,0.0958146880758094,299,1719,1023,758,0.921295077652014
"576","Wellington Exempted Village School District, Ohio",6460,603,5857,0.093343653250774,471,2456,2251,1282,0.927089783281734
"577","Wellston City School District, Ohio",5858,1043,4815,0.178047115056333,1379,2452,1256,771,0.764595425059747
"578","Wellsville Local School District, Ohio",3197,584,2613,0.182671254300907,564,1521,863,249,0.823584610572412
"579","West Branch Local School District, Ohio",8839,873,7966,0.0987668288267904,756,4149,2468,1466,0.91446996266546
"580","West Carrollton City School District, Ohio",19446,2408,17038,0.123830093592513,1916,6483,7261,3786,0.901470739483698
"581","West Clermont Local School District, Ohio",47212,4360,42852,0.0923494026942303,4473,15357,14675,12707,0.905257138015759
"582","West Geauga Local School District, Ohio",11786,604,11182,0.0512472424910911,432,3021,3517,4816,0.963346343118955
"583","West Holmes Local School District, Ohio",11685,1415,10270,0.121095421480531,2396,5463,2331,1495,0.794950791613179
"584","West Liberty-Salem Local School District, Ohio",3787,183,3604,0.0483232109849485,212,1626,1278,671,0.944019012410879
"585","West Muskingum Local School District, Ohio",9989,773,9216,0.0773851236359996,806,3835,3318,2030,0.919311242366603
"586","Western Brown Local School District, Ohio",11702,1145,10557,0.0978465219620578,1461,5756,3112,1373,0.875149547085968
"587","Western Local School District, Ohio",3225,546,2679,0.169302325581395,627,1657,760,181,0.805581395348837
"588","Western Reserve Local School District (Erie and Huron Counties), Ohio",4354,133,4221,0.0305466237942122,488,2051,1189,626,0.887919154800184
"589","Western Reserve Local School District (Mahoning County), Ohio",3165,116,3049,0.036650868878357,269,1372,926,598,0.915007898894155
"590","Westerville City School District, Ohio",67851,4033,63818,0.0594390650100957,3115,14137,18050,32549,0.954090580831528
"591","Westfall Local School District, Ohio",6007,474,5533,0.0789079407358082,837,2619,1648,903,0.860662560346263
"592","Westlake City School District, Ohio",23130,1022,22108,0.0441850410722006,700,3948,6046,12436,0.969736273238219
"593","Wheelersburg Local School District, Ohio",5740,626,5114,0.109059233449477,543,2391,1556,1250,0.905400696864112
"594","Whitehall City School District, Ohio",11697,1966,9731,0.168077284773874,1796,4579,3622,1700,0.846456356330683
"595","Wickliffe City School District, Ohio",9080,514,8566,0.0566079295154185,655,3148,3047,2230,0.927863436123348
"596","Willard City School District, Ohio",7075,774,6301,0.109399293286219,822,3509,1907,837,0.883816254416961
"597","Williamsburg Local School District, Ohio",4743,465,4278,0.0980392156862745,611,1920,1386,826,0.871178578958465
"598","Willoughby-Eastlake City School District, Ohio",48140,3600,44540,0.0747818861653511,3343,15209,16573,13015,0.930556709597009
"599","Wilmington City School District, Ohio",13627,1835,11792,0.134659132604388,1593,4864,4074,3096,0.883099728480223
"600","Windham Exempted Village School District, Ohio",2636,335,2301,0.127086494688923,309,1449,572,306,0.882776934749621
"601","Winton Woods City School District, Ohio",17097,1314,15783,0.0768555886997719,1506,4880,5368,5343,0.911914370942271
"602","Wolf Creek Local School District, Ohio",2392,133,2259,0.0556020066889632,180,1235,723,254,0.924749163879599
"603","Woodmore Local School District, Ohio",4864,506,4358,0.104029605263158,380,1675,1611,1198,0.921875
"604","Woodridge Local School District, Ohio",12812,1041,11771,0.0812519512956603,599,2939,4008,5266,0.95324695597877
"605","Wooster City School District, Ohio",19700,2140,17560,0.108629441624365,1204,7185,5412,5899,0.938883248730965
"606","Worthington City School District, Ohio",45342,1963,43379,0.0432931939482158,1012,6316,11232,26782,0.977680737506065
"607","Wynford Local School District, Ohio",4209,478,3731,0.113566167735804,267,1932,1359,651,0.936564504632929
"608","Wyoming City School District, Ohio",5639,100,5539,0.0177336407164391,57,512,1028,4042,0.98989182479163
"609","Xenia Community City School District, Ohio",24739,3222,21517,0.130239702494038,2389,9326,7646,5378,0.90343182828732
"610","Yellow Springs Exempted Village School District, Ohio",3294,407,2887,0.123557984213722,145,392,718,2039,0.955980570734669
"611","Youngstown City School District, Ohio",43139,11575,31564,0.268318690743874,6727,17244,13228,5940,0.84406221748302
"612","Zane Trace Local School District, Ohio",6782,695,6087,0.102477145384842,569,2958,2211,1044,0.916101445001475
"613","Zanesville City School District, Ohio",17313,3593,13720,0.207531912435742,2589,7290,5288,2146,0.850459192514296
