,GEOID,District_Name,District_Name,population_number,school_no_poverty_num,school_poverty_num,less_than_10k,one_hunna_and_up,ten_to_19k,thirtyfive_to_49k,twenty_to_35k
64,3904412,"Hillsboro City School District, Ohio",Hillsboro City ,15203,2509,933,171,917,338,667,783
65,3904413,"Huron City School District, Ohio",Huron City ,9683,1681,361,35,1212,251,483,351
66,3904414,"Ironton City School District, Ohio",Ironton City ,9829,1532,596,109,329,271,352,505
67,3904415,"Jackson City School District, Ohio",Jackson City ,15105,2291,969,284,789,370,630,462
68,3904416,"Kent City School District, Ohio",Kent City ,28592,5680,4762,94,2277,280,518,515
69,3904418,"Kettering City School District, Ohio",Kettering City ,53280,10950,2419,477,5002,650,1791,1640
70,3904419,"Lakewood City School District, Ohio",Lakewood City ,48050,8323,1948,236,4646,500,957,943
71,3904420,"Lancaster City School District, Ohio",Lancaster City ,44191,7624,1813,257,2854,857,1484,1763
72,3904421,"Lebanon City School District, Ohio",Lebanon City ,31159,7250,653,117,3837,275,592,802
73,3904422,"Lima City School District, Ohio",Lima City ,27135,5063,2318,312,540,603,1021,1172
74,3904423,"Lockland Local School District, Ohio",Lockland Local ,4118,562,572,83,145,49,133,118
75,3904424,"Logan-Hocking Local School District, Ohio",Logan-Hocking Local ,22968,4644,795,291,1615,509,981,845
76,3904425,"London City School District, Ohio",London City ,13390,2528,358,82,1311,113,377,339
77,3904426,"Lorain City School District, Ohio",Lorain City ,50154,7251,4527,495,1610,1011,2040,2031
78,3904427,"Loveland City School District, Ohio",Loveland City ,26927,7543,622,94,4900,182,437,419
79,3904428,"Madeira City School District, Ohio",Madeira City ,8596,2428,30,83,1840,66,170,99
80,3904429,"Mansfield City School District, Ohio",Mansfield City ,29968,4494,2058,432,1051,665,1227,1393
81,3904430,"Maple Heights City School District, Ohio",Maple Heights City ,21584,3668,1686,177,625,333,1011,1106
82,3904431,"Mariemont City School District, Ohio",Mariemont City ,8204,2202,271,62,1438,33,219,173
83,3904433,"Marion City School District, Ohio",Marion City ,27326,4616,1945,270,679,675,1207,1153
84,3904434,"Martins Ferry City School District, Ohio",Martins Ferry City ,9947,1512,426,111,613,267,437,504
85,3904435,"Massillon City School District, Ohio",Massillon City ,27074,4400,1374,328,1200,562,1351,1157
86,3904436,"Maumee City School District, Ohio",Maumee City ,17165,3347,401,104,1852,206,467,452
87,3904437,"Mayfield City School District, Ohio",Mayfield City ,31456,6815,423,219,4000,513,1009,955
88,3904438,"Medina City School District, Ohio",Medina City ,42765,9775,761,181,6344,355,1229,771
89,3904439,"Miamisburg City School District, Ohio",Miamisburg City ,37028,7383,1514,282,3692,457,1329,1258
90,3904440,"Middletown City School District, Ohio",Middletown City ,46555,6513,4376,506,2170,920,1525,1475
91,3904441,"Mount Healthy City School District, Ohio",Mount Healthy City ,23001,3691,1587,338,1399,387,861,941
92,3904443,"Napoleon Area City School District, Ohio",Napoleon Area City ,13114,2599,598,63,1088,182,760,534
93,3904444,"Nelsonville-York City School District, Ohio",Nelsonville-York City ,7910,1162,886,161,345,163,327,342
94,3904445,"Newark City School District, Ohio",Newark City ,46322,8149,2653,399,2646,712,1680,1500
95,3904446,"New Boston Local School District, Ohio",New Boston Local ,2184,265,251,24,13,26,92,46
96,3904447,"New Lexington City School District, Ohio",New Lexington City ,10947,1741,727,187,521,187,383,512
97,3904448,"New Philadelphia City School District, Ohio",New Philadelphia City ,21220,3604,827,208,1442,591,699,795
98,3904449,"Niles City School District, Ohio",Niles City ,17291,2471,898,194,814,426,736,677
99,3904450,"North Canton City School District, Ohio",North Canton City ,27675,6036,539,88,3907,299,783,871
100,3904451,"North College Hill City School District, Ohio",North College Hill City ,10279,2316,721,20,346,242,318,398
101,3904452,"North Olmsted City School District, Ohio",North Olmsted City ,30403,5896,1214,270,3225,592,1057,911
102,3904453,"North Ridgeville City School District, Ohio",North Ridgeville City ,31822,7322,455,174,4322,471,1214,920
103,3904454,"North Royalton City School District, Ohio",North Royalton City ,34987,8047,266,163,5523,390,1201,1059
104,3904455,"Norton City School District, Ohio",Norton City ,13642,2930,157,85,1523,232,596,449
105,3904456,"Norwalk City School District, Ohio",Norwalk City ,18092,3495,625,129,1276,287,855,619
106,3904457,"Norwood City School District, Ohio",Norwood City ,18905,3010,1986,65,1316,183,430,422
107,3904458,"Oakwood City School District, Ohio",Oakwood City ,8672,2432,241,26,1685,56,257,96
108,3904459,"Oberlin City School District, Ohio",Oberlin City ,7812,1086,1119,68,540,136,219,236
109,3904460,"Oregon City School District, Ohio",Oregon City ,22280,4454,384,208,2383,192,678,771
110,3904461,"Orrville City School District, Ohio",Orrville City ,10107,1959,331,68,823,158,448,280
111,3904463,"Parma City School District, Ohio",Parma City ,105887,19718,2463,1141,9006,1790,4352,3987
112,3904464,"Piqua City School District, Ohio",Piqua City ,22470,4191,990,175,1329,345,824,1199
113,3904465,"Port Clinton City School District, Ohio",Port Clinton City ,12887,2003,548,82,1348,250,808,703
114,3904467,"Princeton City School District, Ohio",Princeton City ,39558,6327,1824,330,3915,463,1063,1330
115,3904468,"Ravenna City School District, Ohio",Ravenna City ,20019,3430,869,185,979,460,1218,900
116,3904469,"Reading Community City School District, Ohio",Reading Community City ,10102,1867,508,19,824,51,329,271
117,3904470,"Rocky River City School District, Ohio",Rocky River City ,19625,4076,217,171,3323,210,605,532
118,3904471,"St. Bernard-Elmwood Place City School District, Ohio",St. Bernard-Elmwood Place City ,6123,1257,317,31,421,113,190,179
119,3904472,"St. Marys City School District, Ohio",St. Marys City ,11915,2481,246,73,1206,180,534,463
120,3904474,"Sandusky City School District, Ohio",Sandusky City ,23493,3740,1651,288,868,376,971,1172
121,3904475,"Shaker Heights City School District, Ohio",Shaker Heights City ,30020,7159,1360,158,4568,215,408,481
122,3904476,"Sheffield-Sheffield Lake City School District, Ohio",Sheffield-Sheffield Lake City ,12961,2813,131,99,1110,160,669,241
123,3904479,"South Euclid-Lyndhurst City School District, Ohio",South Euclid-Lyndhurst City ,32153,6191,1239,467,3797,553,1306,1423
124,3904480,"South-Western City School District, Ohio",South-Western City ,135720,27950,5792,801,11689,1370,3070,3176
125,3904481,"Springfield City School District, Ohio",Springfield City ,50948,8399,4065,437,1542,1198,1900,1970
126,3904482,"Steubenville City School District, Ohio",Steubenville City ,13016,1800,1039,206,495,230,474,334
127,3904483,"Stow-Munroe Falls City School District, Ohio",Stow-Munroe Falls City ,38499,7953,879,234,4840,429,1148,977
128,3904484,"Strongsville City School District, Ohio",Strongsville City ,43231,9432,575,273,7327,370,1159,1289
129,3904485,"Struthers City School District, Ohio",Struthers City ,10959,2045,649,216,518,394,593,677
130,3904486,"Sycamore Community City School District, Ohio",Sycamore Community City ,32676,8181,377,176,6050,183,769,556
131,3904487,"Sylvania City School District, Ohio",Sylvania City ,50232,12166,1119,312,8196,526,1527,1114
132,3904488,"Tallmadge City School District, Ohio",Tallmadge City ,16870,3732,319,96,2356,211,690,419
133,3904489,"Tiffin City School District, Ohio",Tiffin City ,19144,3459,890,197,1225,358,882,822
134,3904490,"Toledo City School District, Ohio",Toledo City ,203312,33352,19600,3082,7614,4361,7153,8113
135,3904491,"Toronto City School District, Ohio",Toronto City ,5073,839,257,43,317,175,295,274
136,3904492,"Troy City School District, Ohio",Troy City ,29508,6938,797,194,2706,530,967,497
137,3904493,"Upper Arlington City School District, Ohio",Upper Arlington City ,33717,8712,303,78,7558,195,617,459
138,3904494,"Urbana City School District, Ohio",Urbana City ,13741,2201,637,54,771,321,690,478
139,3904495,"Vandalia-Butler City School District, Ohio",Vandalia-Butler City ,23007,4427,403,23,2738,267,733,652
140,3904498,"Wapakoneta City School District, Ohio",Wapakoneta City ,18281,3763,429,190,1682,263,808,669
141,3904499,"Warren City School District, Ohio",Warren City ,32507,4166,3529,662,944,909,1542,1426
142,3904500,"Warrensville Heights City School District, Ohio",Warrensville Heights City ,14063,2341,1370,121,422,221,530,410
143,3904502,"Wellston City School District, Ohio",Wellston City ,8884,1771,598,91,408,451,335,303
144,3904503,"Wellsville Local School District, Ohio",Wellsville Local ,4528,634,439,60,153,94,234,198
145,3904504,"Westerville City School District, Ohio",Westerville City ,96357,23356,3542,463,13948,532,1945,1680
146,3904505,"West Carrollton City School District, Ohio",West Carrollton City ,25808,4287,895,227,1460,532,1079,898
147,3904506,"Westlake City School District, Ohio",Westlake City ,30683,6808,474,277,5086,266,699,799
148,3904507,"Whitehall City School District, Ohio",Whitehall City ,17910,3514,1526,138,561,156,479,299
149,3904508,"Wickliffe City School District, Ohio",Wickliffe City ,12063,2308,220,135,950,294,710,695
150,3904509,"Willard City School District, Ohio",Willard City ,10325,1996,597,119,593,91,548,369
151,3904510,"Willoughby-Eastlake City School District, Ohio",Willoughby-Eastlake City ,63311,12117,1374,423,5608,1119,2117,2401
152,3904511,"Wilmington City School District, Ohio",Wilmington City ,18746,3255,825,159,1363,317,470,864
153,3904513,"Worthington City School District, Ohio",Worthington City ,62666,14976,1379,203,9980,396,1045,664
154,3904514,"Wyoming City School District, Ohio",Wyoming City ,8284,2424,117,58,1905,17,156,121
155,3904515,"Xenia Community City School District, Ohio",Xenia Community City ,33689,6012,1736,353,2319,466,1289,1238
156,3904516,"Youngstown City School District, Ohio",Youngstown City ,60560,7634,7049,1432,1571,2420,2794,3480
157,3904517,"Zanesville City School District, Ohio",Zanesville City ,24556,3183,2349,266,772,719,816,814
158,3904518,"Ada Exempted Village School District, Ohio",Ada Exempted Village ,5350,1051,336,61,338,63,190,99
159,3904519,"Amherst Exempted Village School District, Ohio",Amherst Exempted Village ,22904,4853,429,102,2843,422,941,797
160,3904520,"Barnesville Exempted Village School District, Ohio",Barnesville Exempted Village ,6716,1589,184,59,525,249,349,317
161,3904521,"Bluffton Exempted Village School District, Ohio",Bluffton Exempted Village ,6131,1264,94,34,533,79,329,109
162,3904522,"Bradford Exempted Village School District, Ohio",Bradford Exempted Village ,3398,634,88,20,253,53,148,122
163,3904523,"Bridgeport Exempted Village School District, Ohio",Bridgeport Exempted Village ,5803,782,350,63,288,247,347,282
164,3904524,"Harrison Hills City School District, Ohio",Harrison Hills City ,12315,1915,474,221,801,374,665,609
165,3904525,"Caldwell Exempted Village School District, Ohio",Caldwell Exempted Village ,5866,745,265,52,262,155,327,454
166,3904526,"Carey Exempted Village School District, Ohio",Carey Exempted Village ,5061,1200,134,52,331,93,221,100
167,3904527,"Carrollton Exempted Village School District, Ohio",Carrollton Exempted Village ,14840,2596,418,168,980,318,664,606
168,3904528,"Chagrin Falls Exempted Village School District, Ohio",Chagrin Falls Exempted Village ,9631,2454,31,45,2129,76,243,146
169,3904529,"Chesapeake Union Exempted Village School District, Ohio",Chesapeake Union Exempted Village ,7193,1375,302,196,566,197,202,262
170,3904531,"Coldwater Exempted Village School District, Ohio",Coldwater Exempted Village ,5897,1497,2,59,539,78,287,210
171,3904532,"Columbiana Exempted Village School District, Ohio",Columbiana Exempted Village ,7376,1262,223,60,769,117,278,434
172,3904533,"Covington Exempted Village School District, Ohio",Covington Exempted Village ,4635,984,193,25,333,159,230,188
173,3904535,"Crooksville Exempted Village School District, Ohio",Crooksville Exempted Village ,5116,933,318,49,131,148,216,258
174,3904536,"Fairport Harbor Exempted Village School District, Ohio",Fairport Harbor Exempted Village ,2960,493,28,82,161,47,119,125
175,3904537,"Georgetown Exempted Village School District, Ohio",Georgetown Exempted Village ,6052,977,455,27,387,148,296,169
176,3904538,"Gibsonburg Exempted Village School District, Ohio",Gibsonburg Exempted Village ,5012,1194,105,43,388,149,210,135
177,3904539,"Granville Exempted Village School District, Ohio",Granville Exempted Village ,11679,3397,213,34,2209,96,141,90
178,3904540,"Greenfield Exempted Village School District, Ohio",Greenfield Exempted Village ,12157,1637,691,181,586,297,445,529
179,3904541,"Hicksville Exempted Village School District, Ohio",Hicksville Exempted Village ,5001,1064,91,26,329,95,240,191
180,3904542,"Hubbard Exempted Village School District, Ohio",Hubbard Exempted Village ,12406,1970,437,151,990,277,709,734
181,3904543,"Indian Hill Exempted Village School District, Ohio",Indian Hill Exempted Village ,12166,2982,153,110,2667,93,229,98
182,3904545,"Lisbon Exempted Village School District, Ohio",Lisbon Exempted Village ,5298,804,279,30,388,143,332,264
183,3904546,"Loudonville-Perrysville Exempted Village School District, Ohio",Loudonville-Perrysville Exempted Village ,7155,1164,296,55,445,209,364,331
184,3904547,"Marysville Exempted Village School District, Ohio",Marysville Exempted Village ,29106,6896,699,156,4002,359,781,669
185,3904548,"Mechanicsburg Exempted Village School District, Ohio",Mechanicsburg Exempted Village ,4126,688,69,13,307,94,160,110
186,3904549,"Mentor Exempted Village School District, Ohio",Mentor Exempted Village ,57908,11749,825,584,7827,709,2432,2458
187,3904550,"Milford Exempted Village School District, Ohio",Milford Exempted Village ,41449,9884,444,203,6224,382,1086,1180
188,3904551,"Milton-Union Exempted Village School District, Ohio",Milton-Union Exempted Village ,10054,1952,138,22,741,162,409,501
189,3904552,"Montpelier Exempted Village School District, Ohio",Montpelier Exempted Village ,5591,984,219,92,359,105,314,247
190,3904553,"Mount Gilead Exempted Village School District, Ohio",Mount Gilead Exempted Village ,7010,1348,151,25,660,176,341,195
191,3904554,"Newcomerstown Exempted Village School District, Ohio",Newcomerstown Exempted Village ,5754,986,193,201,221,235,248,488
192,3904555,"New Richmond Exempted Village School District, Ohio",New Richmond Exempted Village ,14261,3027,565,141,1740,262,490,350
193,3904556,"Newton Falls Exempted Village School District, Ohio",Newton Falls Exempted Village ,7872,1111,152,70,632,151,510,404
194,3904557,"Paulding Exempted Village School District, Ohio",Paulding Exempted Village ,9241,1997,197,138,550,150,429,459
195,3904558,"Perrysburg Exempted Village School District, Ohio",Perrysburg Exempted Village ,27601,7217,395,190,4513,160,505,377
196,3904560,"Rossford Exempted Village School District, Ohio",Rossford Exempted Village ,12672,2289,393,146,1229,128,319,575
197,3904561,"Tipp City Exempted Village School District, Ohio",Tipp City Exempted Village ,14338,3442,93,69,1970,127,563,302
198,3904563,"Versailles Exempted Village School District, Ohio",Versailles Exempted Village ,6031,1679,27,76,604,54,213,166
199,3904564,"Wauseon Exempted Village School District, Ohio",Wauseon Exempted Village ,9650,2188,193,59,728,108,347,417
200,3904565,"Wellington Exempted Village School District, Ohio",Wellington Exempted Village ,8715,1780,130,14,804,200,307,348
201,3904566,"Windham Exempted Village School District, Ohio",Windham Exempted Village ,3813,557,181,22,179,76,181,181
202,3904567,"Yellow Springs Exempted Village School District, Ohio",Yellow Springs Exempted Village ,4227,752,133,72,613,122,248,67
203,3904575,"Allen East Local School District, Ohio",Allen East Local ,5434,1185,134,45,492,40,216,261
204,3904576,"Bath Local School District, Ohio",Bath Local ,10231,2335,325,139,951,159,513,345
205,3904577,"Elida Local School District, Ohio",Elida Local ,17754,3497,1112,129,1171,223,849,635
206,3904578,"Perry Local School District (Allen County), Ohio",Perry Local ,3549,714,116,32,144,108,64,187
207,3904579,"Shawnee Local School District, Ohio",Shawnee Local ,15819,3424,435,45,1825,227,447,463
208,3904580,"Spencerville Local School District, Ohio",Spencerville Local ,4575,966,173,19,314,88,184,197
209,3904582,"Hillsdale Local School District, Ohio",Hillsdale Local ,6085,1134,119,61,528,74,226,173
210,3904583,"Mapleton Local School District, Ohio",Mapleton Local ,6536,1194,220,77,451,97,318,298
211,3904585,"Buckeye Local School District (Ashtabula County), Ohio",Buckeye Local ,10047,2171,287,149,785,233,425,554
212,3904586,"Grand Valley Local School District, Ohio",Grand Valley Local ,9289,1463,388,119,640,127,444,307
213,3904587,"Jefferson Area Local School District, Ohio",Jefferson Area Local ,10016,1512,563,207,760,222,357,372
214,3904588,"Pymatuning Valley Local School District, Ohio",Pymatuning Valley Local ,8995,1527,679,104,348,152,417,507
215,3904590,"Alexander Local School District, Ohio",Alexander Local ,10403,1725,330,143,724,184,429,486
216,3904591,"Federal Hocking Local School District, Ohio",Federal Hocking Local ,7955,1210,475,221,637,223,335,413
217,3904592,"Trimble Local School District, Ohio",Trimble Local ,4330,591,387,102,108,171,159,236
218,3904594,"Minster Local School District, Ohio",Minster Local ,3949,960,8,4,612,56,83,125
219,3904595,"New Bremen Local School District, Ohio",New Bremen Local ,4832,1354,63,24,770,35,118,110
220,3904596,"New Knoxville Local School District, Ohio",New Knoxville Local ,1896,512,36,13,208,25,45,46
221,3904597,"Waynesfield-Goshen Local School District, Ohio",Waynesfield-Goshen Local ,2883,562,92,49,370,45,74,143
222,3904599,"St. Clairsville-Richland City School District, Ohio",St. Clairsville-Richland City ,12511,2121,241,82,1217,198,550,473
223,3904600,"Shadyside Local School District, Ohio",Shadyside Local ,5127,971,47,37,421,87,272,304
224,3904601,"Union Local School District, Ohio",Union Local ,8430,1638,122,142,680,111,392,387
225,3904603,"Eastern Local School District (Adams, Brown, and Highland Counties); Ohio",Eastern Local ,8028,1386,395,56,669,223,405,294
226,3904604,"Fayetteville-Perry Local School District, Ohio",Fayetteville-Perry Local ,4436,865,112,52,462,85,153,147
227,3904606,"Western Brown Local School District, Ohio",Western Brown Local ,16288,2616,366,101,1248,424,794,527
228,3904607,"Ripley-Union-Lewis-Huntington Local School District, Ohio",Ripley-Union-Lewis-Huntington Local ,6573,1243,290,75,396,111,250,319
229,3904609,"Edgewood City School District, Ohio",Edgewood City ,19006,4627,585,138,1671,140,734,387
230,3904610,"Fairfield City School District, Ohio",Fairfield City ,62414,13125,1830,368,6343,684,1807,1545
231,3904611,"Lakota Local School District (Butler County), Ohio",Lakota Local ,95404,25432,1978,419,17180,757,1845,1265
232,3904612,"Madison Local School District (Butler County), Ohio",Madison Local ,8180,1782,102,142,863,145,295,246
233,3904613,"New Miami Local School District, Ohio",New Miami Local ,4509,839,128,22,194,95,218,207
234,3904614,"Ross Local School District, Ohio",Ross Local ,17025,5034,168,124,2186,108,405,414
235,3904615,"Talawanda City School District, Ohio",Talawanda City ,27695,4493,6610,158,2481,141,943,557
236,3904617,"Brown Local School District, Ohio",Brown Local ,5031,864,137,67,508,102,321,296
237,3904619,"Graham Local School District, Ohio",Graham Local ,10888,2334,224,62,1014,193,394,358
238,3904620,"Triad Local School District, Ohio",Triad Local ,6042,1513,187,29,712,72,204,89
239,3904621,"West Liberty-Salem Local School District, Ohio",West Liberty-Salem Local ,5143,1090,42,50,510,49,198,197
240,3904623,"Greenon Local School District, Ohio",Greenon Local ,11596,2172,218,125,1172,154,500,532
241,3904624,"Tecumseh Local School District, Ohio",Tecumseh Local ,17615,3739,464,244,956,393,917,819
242,3904625,"Northeastern Local School District (Champaign and Clark Counties), Ohio",Northeastern Local ,20974,3923,456,198,2272,252,895,872
243,3904626,"Northwestern Local School District (Champaign and Clark Counties), Ohio",Northwestern Local ,10221,2144,140,110,1165,185,382,426
244,3904627,"Southeastern Local School District (Clark and Greene Counties), Ohio",Southeastern Local ,4431,937,88,13,399,29,146,147
245,3904628,"Clark-Shawnee Local School District, Ohio",Clark-Shawnee Local ,11153,2411,252,34,1268,84,373,359
246,3904630,"Batavia Local School District, Ohio",Batavia Local ,11808,2635,362,30,1689,121,372,223
247,3904631,"Bethel-Tate Local School District, Ohio",Bethel-Tate Local ,9472,1989,281,59,758,96,349,341
248,3904632,"Clermont Northeastern Local School District, Ohio",Clermont Northeastern Local ,12856,2431,227,158,1139,125,677,520
249,3904633,"Felicity-Franklin Local School District, Ohio",Felicity-Franklin Local ,5240,974,167,9,268,123,165,159
250,3904634,"Goshen Local School District, Ohio",Goshen Local ,15344,3174,309,89,1704,502,609,583
251,3904635,"West Clermont Local School District, Ohio",West Clermont Local ,65477,13201,1540,497,5928,1028,2064,1456
252,3904636,"Williamsburg Local School District, Ohio",Williamsburg Local ,6576,1148,210,90,648,86,167,208
253,3904638,"Blanchester Local School District, Ohio",Blanchester Local ,8048,1180,484,93,602,168,348,309
254,3904639,"Clinton-Massie Local School District, Ohio",Clinton-Massie Local ,10168,2209,177,61,1211,36,339,290
255,3904640,"East Clinton Local School District, Ohio",East Clinton Local ,7826,1434,475,35,498,127,246,327
256,3904642,"Beaver Local School District, Ohio",Beaver Local ,12642,2224,413,150,1048,152,605,847
257,3904643,"Crestview Local School District (Columbiana County), Ohio",Crestview Local ,5509,784,198,55,516,133,276,264
258,3904644,"Southern Local School District (Columbiana and Jefferson Counties), Ohio",Southern Local ,5294,919,169,109,337,118,351,341
259,3904645,"United Local School District, Ohio",United Local ,6659,1268,59,36,461,134,373,434
260,3904647,"Ridgewood Local School District, Ohio",Ridgewood Local ,8105,1366,387,72,410,219,310,520
261,3904648,"River View Local School District, Ohio",River View Local ,14822,2504,506,195,967,561,773,955
262,3904650,"Buckeye Central Local School District, Ohio",Buckeye Central Local ,4945,997,67,62,304,91,302,232
263,3904651,"Colonel Crawford Local School District, Ohio",Colonel Crawford Local ,5384,1005,64,41,421,47,281,283
264,3904652,"Wynford Local School District, Ohio",Wynford Local ,5730,957,199,119,506,114,213,211
265,3904655,"Cuyahoga Heights Local School District, Ohio",Cuyahoga Heights Local ,4216,1010,54,17,594,90,155,116
266,3904656,"Independence Local School District, Ohio",Independence Local ,6987,1752,0,38,1418,52,180,214
267,3904657,"Olmsted Falls City School District, Ohio",Olmsted Falls City ,21649,5418,180,197,3064,403,924,653
268,3904659,"Richmond Heights Local School District, Ohio",Richmond Heights Local ,8944,1422,579,77,782,124,343,303
