"","X.1","X","District_Name","County","Region","mean_enrollment","mean_attendance","mean_chronic_absenteeism","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline","total_population","below_poverty_num","above_poverty_num","poverty_percentage","tot_less_than_HS","tot_HS","tot_some_college","tot_bachelor_plus","HS_PLUS_percentage"
"582",582,582,"Winton Woods City","Hamilton","Region 13",624.5,92.75,20.65,0,64.11666667,0,64.11666667,17097,1314,15783,0.076855589,1506,4880,5368,5343,91.1914371
"583",583,583,"Wolf Creek Local","Washington","Region 16",301.5,94.95,10.35,0,0,0,0,2392,133,2259,0.055602007,180,1235,723,254,92.4749164
"584",584,584,"Woodmore Local","Ottawa","Region 1",242,95.05,8.6,0,0,0,0,4864,506,4358,0.104029605,380,1675,1611,1198,92.1875
"585",585,585,"Woodmore Local","Sandusky","Region 1",451,95.7,5.3,0,12,0,12,4864,506,4358,0.104029605,380,1675,1611,1198,92.1875
"586",586,586,"Woodridge Local","Summit","Region 8",619.6666667,94.7,11,0,29,0,29,12812,1041,11771,0.081251951,599,2939,4008,5266,95.3246956
"587",587,587,"Wooster City","Wayne","Region 9",551.1666667,94.75,10.51666667,0,9.383333333,15.78333333,25.16666667,19700,2140,17560,0.108629442,1204,7185,5412,5899,93.8883249
"588",588,588,"Worthington City","Franklin","Region 11",573.0588235,95.67647059,6.452941176,0,6.617647059,0,6.617647059,45342,1963,43379,0.043293194,1012,6316,11232,26782,97.7680738
"589",589,589,"Wynford Local","Crawford","Region 7",362.6666667,95.1,10.1,0,0,10.66666667,10.66666667,4209,478,3731,0.113566168,267,1932,1359,651,93.6564505
"590",590,590,"Wyoming City","Hamilton","Region 13",394.2,95.88,5.2,0,0,4.8,4.8,5639,100,5539,0.017733641,57,512,1028,4042,98.9891825
"591",591,591,"Xenia Community City","Greene","Region 10",506.5,93.0875,18.475,0,29.1,0,29.1,24739,3222,21517,0.130239702,2389,9326,7646,5378,90.3431828
"592",592,592,"Yellow Springs Exempted Village","Greene","Region 10",334,94.05,13.5,0,0,0,0,3294,407,2887,0.123557984,145,392,718,2039,95.5980571
"593",593,593,"Youngstown City","Mahoning","Region 5",374.0714286,88.77142857,40.9,0,69.86428571,0,69.86428571,43139,11575,31564,0.268318691,6727,17244,13228,5940,84.4062217
"594",594,594,"Zane Trace Local","Ross","Region 15",415.6666667,94.03333333,14.43333333,0,20.33333333,0,20.33333333,6782,695,6087,0.102477145,569,2958,2211,1044,91.6101445
"595",595,595,"Zanesville City","Muskingum","Region 12",630.2,92.78,22.86,0,35.4,90.3,125.7,17313,3593,13720,0.207531912,2589,7290,5288,2146,85.0459193
